
			Flag Report for Joint 30

Work Order: M052213-A
Date: 5-22-13   Customer: ABC Pipe   Customer Job #: 4KMDIED1
Job Location: Plant A
Diameter: 2-3/8  Nominal Wall: 0.250  Length: 22.6
Wall Reject Percentage: 12.5   Nominal Wall less 12.5%: 0.21875
Unit Operator: A.J   Inspection Direction: Towards Home


Prove up by: _____________________________________________________________

Linear	Radial	Transducer	Amplitude	Notes & Initials
(feet)	(clock)
--------------------------------------------------------------------------------
  2.8	8	TT1-ID    	   45	________________________________________
  2.9	3	TT2-OD    	   45	________________________________________
  3.0	4	TT2-OD    	   45	________________________________________
  3.4	4	TL2-OD    	   45	________________________________________
  3.4	2	TT2-ID    	   45	________________________________________
  3.4	7	TT1-OD    	   45	________________________________________
  3.5	6	TT1-OD    	   45	________________________________________
  3.6	4	TL1-ID    	   45	________________________________________
  3.7	12	TL1-ID    	   45	________________________________________
  3.7	9	TL2-ID    	   45	________________________________________
  3.8	5	TL2-ID    	   45	________________________________________
  3.8	1	TL1-OD    	   45	________________________________________
  3.9	11	TT1-ID    	   45	________________________________________
  4.0	12	TT1-ID    	   45	________________________________________
  4.1	4	TT1-ID    	   45	________________________________________
  4.2	5	TT2-OD    	   45	________________________________________
  4.4	1	TL2-OD    	   45	________________________________________
  4.5	8	TL2-OD    	   45	________________________________________
  5.0	7	TT2-ID    	   45	________________________________________
  5.0	3	TL1-ID    	   45	________________________________________
  5.1	2	TT2-ID    	   45	________________________________________
  5.1	1	TL1-ID    	   45	________________________________________
  5.1	4	TL2-ID    	   45	________________________________________
